,,,Dessert (aliment moyen),2.18
aides culinaires et ingrédients divers,aides culinaires,-,Fond de volaille pour sauces et cuisson | déshydraté,1.4
aides culinaires et ingrédients divers,aides culinaires,-,Court-bouillon pour poissons | déshydraté,0
aides culinaires et ingrédients divers,aides culinaires,-,Bouillon de volaille | déshydraté,0
aides culinaires et ingrédients divers,aides culinaires,-,Gelée au madère | déshydratée,0
aides culinaires et ingrédients divers,aides culinaires,-,Gelée au madère,0
aides culinaires et ingrédients divers,aides culinaires,-,Fond de veau | préemballé,0
aides culinaires et ingrédients divers,aides culinaires,-,Pizza | sauce garniture pour,1.46
aides culinaires et ingrédients divers,aides culinaires,-,Bouillon de viande et légumes type pot-au-feu | déshydraté,0.46
aides culinaires et ingrédients divers,aides culinaires,-,Bouillon de viande et légumes type pot-au-feu | non dégraissé | déshydraté,0.2
aides culinaires et ingrédients divers,aides culinaires,-,Bouillon de viande et légumes type pot-au-feu | dégraissé | déshydraté,0.2
aides culinaires et ingrédients divers,sels,-,Sel blanc alimentaire | non iodé | non fluoré (marin | ignigène ou gemme),0
aides culinaires et ingrédients divers,sels,-,Sel au céleri,0
aides culinaires et ingrédients divers,sels,-,Sel blanc alimentaire | iodé | non fluoré (marin | ignigène ou gemme),0
aides culinaires et ingrédients divers,sels,-,Fleur de sel | non iodée | non fluorée,0
aides culinaires et ingrédients divers,sels,-,Sel marin gris | non iodé | non fluoré,0
aides culinaires et ingrédients divers,sels,-,Sel blanc alimentaire | iodé | fluoré à 25 mg /100 g (marin | ignigène ou gemme),0
aides culinaires et ingrédients divers,épices,-,Curry | poudre,1.09
aides culinaires et ingrédients divers,épices,-,Gingembre | poudre,1.22
aides culinaires et ingrédients divers,épices,-,Poivre noir | poudre,0.24
aides culinaires et ingrédients divers,épices,-,Poivre blanc | poudre,0
aides culinaires et ingrédients divers,épices,-,Cannelle | poudre,1.04
aides culinaires et ingrédients divers,épices,-,Coriandre | graine,0
aides culinaires et ingrédients divers,épices,-,Safran,0
aides culinaires et ingrédients divers,épices,-,Cumin | graine,0
aides culinaires et ingrédients divers,épices,-,Noix de muscade,0
aides culinaires et ingrédients divers,épices,-,Paprika,2.63
aides culinaires et ingrédients divers,épices,-,Clou de girofle,1.14
aides culinaires et ingrédients divers,épices,-,Laurier | feuille,0
aides culinaires et ingrédients divers,épices,-,Quatre épices,0
aides culinaires et ingrédients divers,épices,-,Vanille | gousse,0
aides culinaires et ingrédients divers,épices,-,Pavot | graine,0.37
aides culinaires et ingrédients divers,épices,-,Carvi | graine,0
aides culinaires et ingrédients divers,épices,-,Vanille | extrait alcoolique,0
aides culinaires et ingrédients divers,épices,-,Fenouil | graine,0
aides culinaires et ingrédients divers,épices,-,Gingembre | racine crue,0.36
aides culinaires et ingrédients divers,épices,-,Cardamome | poudre,0
aides culinaires et ingrédients divers,épices,-,Fenugrec | graine,0
aides culinaires et ingrédients divers,épices,-,Epice (aliment moyen),0.35
aides culinaires et ingrédients divers,épices,-,Poivre de Cayenne ou piment de Cayenne,0
aides culinaires et ingrédients divers,épices,-,Curcuma | poudre,0.38
aides culinaires et ingrédients divers,épices,-,Vanille | extrait aqueux,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Ail | cru,0.2
aides culinaires et ingrédients divers,herbes,herbes fraîches,Cerfeuil | frais,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Ciboule ou Ciboulette | fraîche,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Persil | frais,0.5
aides culinaires et ingrédients divers,herbes,herbes fraîches,Raifort | cru,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Menthe | fraîche,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Basilic | frais,0.02
aides culinaires et ingrédients divers,herbes,herbes fraîches,Romarin | frais,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Sauge | fraîche,0.3
aides culinaires et ingrédients divers,herbes,herbes fraîches,Thym | frais,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Herbes aromatiques fraîches (aliment moyen),0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Estragon | frais,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Aneth | frais,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Coriandre | fraiche,0
aides culinaires et ingrédients divers,herbes,herbes fraîches,Ail | rôti/cuit au four,0.2
aides culinaires et ingrédients divers,herbes,herbes fraîches,Ail | sauté/poêlé | sans matière grasse,0.2
aides culinaires et ingrédients divers,herbes,herbes séchées,Ail séché | poudre,0.07
aides culinaires et ingrédients divers,herbes,herbes séchées,Persil | séché,2.76
aides culinaires et ingrédients divers,herbes,herbes séchées,Menthe | séchée,0
aides culinaires et ingrédients divers,herbes,herbes séchées,Basilic | séché,0.75
aides culinaires et ingrédients divers,herbes,herbes séchées,Marjolaine | séchée,0
aides culinaires et ingrédients divers,herbes,herbes séchées,Origan | séché,1.9
aides culinaires et ingrédients divers,herbes,herbes séchées,Romarin | séché,0
aides culinaires et ingrédients divers,herbes,herbes séchées,Sauge | séchée,0
aides culinaires et ingrédients divers,herbes,herbes séchées,Thym | séché,0
aides culinaires et ingrédients divers,herbes,herbes séchées,Herbes de Provence | séchées,0
aides culinaires et ingrédients divers,herbes,herbes séchées,Sarriette | séchée,0
aides culinaires et ingrédients divers,herbes,herbes séchées,Meloukhia | feuilles de corète séchées | en poudre,3.7
aides culinaires et ingrédients divers,algues,-,Agar (algue) | cru,0
aides culinaires et ingrédients divers,algues,-,Agar (algue) | séché,0
aides culinaires et ingrédients divers,algues,-,Spiruline (Spirulina sp.) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Wakamé (Undaria pinnatifida) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Laitue de mer (Ulva sp.) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Kombu royal (Saccharina latissima) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Nori (Porphyra sp.) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Dulse (Palmaria palmata) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Kombu ou kombu japonais (Laminaria japonica) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Kombu breton (Laminaria digitata) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Haricot de mer (Himanthalia elongata) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Gracilaire ou ogonori (Gracilaria verrucosa) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus) | séché ou déshydraté,0
aides culinaires et ingrédients divers,algues,-,Ao-nori (Enteromorpha sp.) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,algues,-,Lichen de mer ou pioca ou goémon rouge (Chondrus crispus) | séché ou déshydraté,0
aides culinaires et ingrédients divers,algues,-,Ascophylle noueux ou goémon noir (Ascophyllum nodosum) | séché ou déshydraté,0
aides culinaires et ingrédients divers,algues,-,Wakamé atlantique (Alaria esculenta) | séchée ou déshydratée,0
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,-,Boisson diététique pour le sport,0.68
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,-,Substitut de repas hypocalorique | crème dessert,0
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,-,Substitut de repas hypocalorique | prêt à boire,0.2
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,-,Substitut de repas hypocalorique | poudre reconstituée avec lait écrémé,0
aides culinaires et ingrédients divers,denrées destinées à une alimentation particulière,-,Substitut de repas hypocalorique | poudre reconstituée avec lait écrémé | type milk-shake,0
aides culinaires et ingrédients divers,aides culinaires et ingrédients pour végétariens,-,Son de blé,0
aides culinaires et ingrédients divers,ingrédients divers,-,Son de blé,0.5
aides culinaires et ingrédients divers,ingrédients divers,-,Son d'avoine,0
aides culinaires et ingrédients divers,ingrédients divers,-,Son de maïs,0
aides culinaires et ingrédients divers,ingrédients divers,-,Son de riz,0.2
aides culinaires et ingrédients divers,ingrédients divers,-,Son (aliment moyen),0
aides culinaires et ingrédients divers,ingrédients divers,-,Germe de blé,0.2
aides culinaires et ingrédients divers,ingrédients divers,-,Gélatine | sèche,0
aides culinaires et ingrédients divers,ingrédients divers,-,Levure alimentaire,0.3
aides culinaires et ingrédients divers,ingrédients divers,-,Levure de boulanger | compressée,0
aides culinaires et ingrédients divers,ingrédients divers,-,Levure de boulanger | déshydratée,0
aides culinaires et ingrédients divers,ingrédients divers,-,Levure chimique ou Poudre à lever,0.2
aides culinaires et ingrédients divers,ingrédients divers,-,Préparation culinaire à base de soja | type crème de soja,0.2
aides culinaires et ingrédients divers,ingrédients divers,-,Bicarbonate de soude,0
aides culinaires et ingrédients divers,ingrédients divers,-,Tofu soyeux | préemballé,0.33
aides culinaires et ingrédients divers,ingrédients divers,-,Miso,0
aides culinaires et ingrédients divers,ingrédients divers,-,Sirop pour fruits appertisés au sirop,6.7
aides culinaires et ingrédients divers,ingrédients divers,-,Sirop léger pour fruits appertisés au sirop,4.88
aides culinaires et ingrédients divers,ingrédients divers,-,Jus d'ananas pour ananas appertisé au jus,3.96
aides culinaires et ingrédients divers,ingrédients divers,-,Sirop léger pour poire appertisée,3.81
aides culinaires et ingrédients divers,ingrédients divers,-,Gélifiant pour confitures,0
aides culinaires et ingrédients divers,ingrédients divers,-,Gelée royale,6.5
aides culinaires et ingrédients divers,ingrédients divers,-,Pollen | partiellement séché,0
aides culinaires et ingrédients divers,ingrédients divers,-,Pollen |frais,0
aides culinaires et ingrédients divers,ingrédients divers,-,Base de pizza à la crème,0
aides culinaires et ingrédients divers,ingrédients divers,-,Base de pizza tomatée,0
aides culinaires et ingrédients divers,ingrédients divers,-,Lécithine de soja,0
aliments infantiles,laits et boissons infantiles,-,Lait 1er âge | poudre soluble (préparation pour nourrissons),0
aliments infantiles,laits et boissons infantiles,-,Lait 2e âge | poudre soluble (préparation de suite),0
aliments infantiles,laits et boissons infantiles,-,Boisson aux fruits pour bébé dès 4/6mois,2.5
aliments infantiles,laits et boissons infantiles,-,Boisson à base de plantes pour bébé,1.89
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois,0.18
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois,1.1
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois,0.1
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois,0.1
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois,0.3
aliments infantiles,laits et boissons infantiles,-,Boisson infantile lactées aux fruits pour le goûter dès 4/6 mois (sans céréales),1.47
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées aux légumes pour diner dès 12 mois,0
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées pour le petit déjeuner,0.3
aliments infantiles,laits et boissons infantiles,-,Boisson infantile céréales lactées (aliment moyen),0.15
aliments infantiles,laits et boissons infantiles,-,Lait de croissance infantile | liquide (aliment lacté destiné aux enfants en bas âge),0.1
aliments infantiles,laits et boissons infantiles,-,Lait 1er âge | prêt à consommer (préparation pour nourrissons),0.1
aliments infantiles,laits et boissons infantiles,-,Lait 2e âge | prêt à consommer (préparation pour nourrissons),0.12
aliments infantiles,laits et boissons infantiles,-,Lait infantile pour prématurés | prêt à consommer,0
aliments infantiles,petits pots salés et plats infantiles,-,Petit pot légumes | dès 4-6 mois,0.5
aliments infantiles,petits pots salés et plats infantiles,-,Petit pot légumes | avec féculent | dès 4/6 mois,0.2
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent | dès 6-8 mois,0.7
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent et lait/crème | dès 6-8 mois,0.44
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent et lait/crème | dès 8-12 mois,0.2
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent et lait/crème | dès 12 mois,0.21
aliments infantiles,petits pots salés et plats infantiles,-,Soupe pour bébé légumes et pomme de terre,0.22
aliments infantiles,petits pots salés et plats infantiles,-,Soupe pour bébé légumes | céréales et lait,0.58
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent et lait/crème | dès 18 mois,0.75
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent et viande/poisson | dès 6-8 mois,0.28
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent et viande/poisson | dès 8-12 mois,0.31
aliments infantiles,petits pots salés et plats infantiles,-,Plat légumes | avec féculent et viande/poisson | dès 12 mois,0.2
